"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"3421",80106440,"Movie","Teenage Cocktail","John Carchietta","Nichole Bloom, Fabianne Therese, Michelle Borth, Pat Healy, AJ Bowen, Joshua Leonard","United States","January 15, 2017",2016,"TV-MA","89 min","Dramas, Independent Movies, LGBTQ Movies","Two teen girls form an intense bond and launch a lucrative webcam business, leading them to a dangerous encounter with a middle-aged married man."
"3427",80221553,"TV Show","Kipo and the Age of Wonderbeasts","","Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum","United States","January 14, 2020",2020,"TV-Y7-FV","1 Season","Kids' TV, TV Comedies","Making her way through a world of mutant animals, a sheltered yet scrappy girl learns how to survive – and get home – with help from her ragtag crew."
"3428",81060049,"Movie","Leslie Jones: Time Machine","David Benioff, D.B. Weiss","Leslie Jones","United States","January 14, 2020",2020,"TV-MA","66 min","Stand-Up Comedy","From trying to seduce Prince to battling sleep apnea, Leslie Jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
"3430",81221851,"Movie","Women of Mafia 2","Patryk Vega","Angie Cepeda, Agnieszka Dygant, Aleksandra Grabowska, Aleksandra Popławska, Katarzyna Warnke, Piotr Adamczyk, Enrique Arce, Amin Bensalem, Wojciech Bocianowski, Janusz Chabior","Poland","January 14, 2020",2019,"TV-MA","132 min","Action & Adventure, Dramas, International Movies","When a major drug deal goes sour, the queen of the Warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter."
"3431",81009823,"Movie","Invisible Essence: The Little Prince","Charles Officer","","Canada","January 14, 2019",2018,"TV-PG","91 min","Documentaries","Artists and writers delve into the heart of Antoine de Saint-Exupéry's timeless fable, which captured the imagination of children and adults worldwide."
"3432",81020668,"TV Show","La Grande Chaumière Violette","","Eli Shi, Alice Ko, Jen-Shuo Cheng, Chiung-Hsuan Hsieh, Herb Hsu, Bryant Lee, Hsiu-Ling Lin, Ma Ju-lung, Ching-kuan Wang","Taiwan","January 14, 2019",2016,"TV-14","1 Season","International TV Shows, TV Dramas","Reminiscing about his youth in Taiwan's turbulent 1920s, Guo Xuehu reflects on his passion for art, a friendship with a painter – and a doomed romance."
"3434",80144144,"Movie","Estar o no estar","Marcelo González","Flavio Medina, Aislinn Derbez, Patricia Reyes Spíndola, Tiaré Scanda, Angélica Aragón, Horacio Castelo, Gonzalo Garcia Vivanco, Rubén González Garza, Iliana de la Garza, Mary Paz Mata","Mexico","January 14, 2017",2016,"TV-14","100 min","Dramas, International Movies, Romantic Movies","An ill and addled man recalls what seems to be a brief but powerful past romance with a kindred spirit, a young Russian woman who lived a lonely life."
"3435",80106504,"Movie","Little Sister","Zach Clark","Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges, Barbara Crampton, Kristin Slaysman, Molly Plunk","United States","January 14, 2017",2016,"NR","91 min","Comedies, Dramas, Independent Movies","A former Goth studying to become a nun finds her faith tested when she returns home to visit her brother, who has been disfigured in the Iraq War."
"3436",80141335,"Movie","The River Thief","N.D. Wilson","Joel Courtney, Tommy Cash, Paul Johansson, Bas Rutten, Raleigh Cain, David Shannon","United States","January 14, 2017",2016,"NR","87 min","Dramas, Independent Movies","A heedless teen drifter who falls for a small-town waitress makes the mistake of robbing a drug lord, putting his life and newfound love in jeopardy."
"3437",80239306,"TV Show","The Healing Powers of Dude","","Jace Chapman, Larisa Oleynik, Tom Everett Scott, Steve Zahn, Mauricio Lara, Sophie Kim, Laurel Emory","","January 13, 2020",2020,"TV-G","1 Season","Kids' TV, TV Comedies, TV Dramas","When an 11-year-old boy with social anxiety disorder starts middle school, he finds strength in a scruffy emotional support dog named Dude."
"3438",80115030,"Movie","The Last Face","Sean Penn","Javier Bardem, Charlize Theron, Adèle Exarchopoulos, Jared Harris, Jean Reno, Denise Newman, Merritt Wever, Sibongile Mlambo","United States","January 13, 2020",2016,"R","131 min","Dramas","Savage civil war and a dispute over humanitarian assistance threaten to unravel a checkered romance between an aid director and a doctor."
"3440",81044299,"Movie","Baazaar","Gauravv K Chawla","Saif Ali Khan, Chitrangada Singh, Radhika Apte, Rohan Vinod Mehra, Manish Chaudhary, Denzil Smith, Pawan Chopra, Deepak Gheewala, Utkarsh Mazumdar, Danish Hussain","India","January 13, 2019",2018,"TV-14","136 min","Dramas, International Movies","A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
"3442",80113667,"Movie","Aquarius","Kleber Mendonça Filho","Sonia Braga, Maeve Jinkings, Irandhir Santos, Humberto Carrão, Zoraide Coleto, Carla Ribas, Fernando Teixeira, Buda Lira","Brazil, France","January 13, 2017",2016,"UR","146 min","Dramas, International Movies","The final holdout in her historic beachside building in Brazil, a retired music critic refuses to sell her apartment to developers bent on demolition."
"3443",80137087,"Movie","Casablancas: The Man Who Loved Women","Hubert Woroniecki","","France","January 13, 2017",2016,"TV-14","82 min","Documentaries, International Movies","The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel."
"3444",80096955,"Movie","Clinical","Alistair Legrand","Vinessa Shaw, Kevin Rahm, William Atherton, Aaron Stanford, Wilmer Calderon, Sydney Tamiia Poitier, India Eisley, Nestor Serrano","United States","January 13, 2017",2017,"TV-MA","104 min","Horror Movies, Thrillers","A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident."
"3446",81173792,"Movie","Betty White: First Lady of Television","Steve Boettcher","Betty White, Valerie Bertinelli, Georgia Engel, Tina Fey, Valerie Harper, Jennifer Love Hewitt, Carl Reiner, Ryan Reynolds, Alex Trebek","United States","January 12, 2020",2018,"TV-14","56 min","Documentaries","This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment."
"3447",81113919,"Movie","Made in China","Mikhil Musale","Rajkummar Rao, Boman Irani, Mouni Roy, Sumeet Vyas, Paresh Rawal, Gajraj Rao, Manoj Joshi, Sanjay Goradia, Amyra Dastur, Chittaranjan Tripathi, Abhishek Banerjee","India","January 12, 2020",2019,"TV-MA","128 min","Comedies, Dramas, International Movies","After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos."
"3449",80990532,"Movie","He's Out There","Quinn Lasher","Yvonne Strahovski, Anna Pniowsky, Abigail Pniowsky, Ryan McDonald, Justin Bruening, Julian Bailey","United States","January 12, 2019",2018,"R","89 min","Horror Movies, Thrillers","While vacationing at a remote lake house, a mother and her daughters become pawns in the twisted game of an ax-wielding psychopath."
"3450",80108149,"Movie","Milada","David Mrnka","Ayelet Zurer, Robert Gant, Vica Kerekes, Aňa Geislerová, Ivana Chýlková, Vladimír Javorský, Dagmar Bláhová, Jaromír Dulava, Martin Pechlát, Brian Caspe","Czech Republic, United States","January 12, 2018",2017,"TV-MA","124 min","Dramas, International Movies","Politician and human rights campaigner Milada Horáková battles against all odds to defend her beliefs in a Czechoslovakia under Communist rule."
"3452",80173395,"Movie","The Polka King","Maya Forbes","Jack Black, Jenny Slate, Jason Schwartzman, Jacki Weaver, J.B. Smoove, Vanessa Bayer, Robert Capron, Willie Garson, Lew Schneider","United States","January 12, 2018",2018,"TV-14","94 min","Comedies, Independent Movies","Determined to make it big in America, Polish-born bandleader Jan Lewan draws his fans into a Ponzi scheme in this comedy based on a true story."
"3453",80226236,"Movie","The Reservoir Game","Choi Jin-seong","","South Korea","January 12, 2018",2017,"TV-MA","100 min","Documentaries, International Movies","An investigative reporter seeks to expose the whereabouts of a slush fund belonging to the former president of South Korea, Lee Myung-bak."
"3454",80187307,"Movie","Tom Segura: Disgraceful","Jay Karas","Tom Segura","United States","January 12, 2018",2018,"TV-MA","71 min","Stand-Up Comedy","Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more."
"3455",80098203,"Movie","Little Men","Ira Sachs","Greg Kinnear, Jennifer Ehle, Paulina García, Alfred Molina, Michael Barbieri, Theo Taplitz, Talia Balsam, Maliq Johnson, Anthony A. Flamminio, Madison Wright, John Procaccino","United States, Greece, Brazil","January 12, 2017",2016,"PG","85 min","Dramas, Independent Movies","Jake and Tony become friends when Jake's dad inherits a home above Tony's mother's shop. Friendship is tested when Jake's dad raises the shop's rent."
"3458",81036539,"Movie","All of You","Dan Villegas","Jennylyn Mercado, Derek Ramsay, Yayo Aguila, Kean Cipriano, Nico Antonio, Enzo Marcos, Via Antonio, Hannah Ladesma","Philippines","January 11, 2019",2017,"TV-14","104 min","Comedies, Dramas, International Movies","Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
"3459",80210995,"TV Show","Back with the Ex","","","","January 11, 2019",2018,"TV-MA","1 Season","International TV Shows, Reality TV, Romantic TV Shows","New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good."
"3460",80191048,"Movie","ReMastered: Massacre at the Stadium","Bent-Jorgen Perlmutt","","","January 11, 2019",2019,"TV-MA","65 min","Documentaries, Music & Musicals","The shocking murder of singer Victor Jara in 1973 turned him into a powerful symbol of Chile's struggle. Decades later, a quest for justice unfolds."
"3461",80197526,"TV Show","Sex Education","","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie","United States, United Kingdom","January 11, 2019",2019,"TV-MA","1 Season","British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
"3462",80245041,"Movie","Solo","Hugo Stuven","Alain Hernández, Aura Garrido, Ben Temple","Spain","January 11, 2019",2018,"TV-MA","91 min","Dramas, Independent Movies, International Movies","In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events."
"3463",80202273,"Movie","The Last Laugh","Greg Pritikin","Chevy Chase, Richard Dreyfuss, Andie MacDowell, Kate Micucci, Chris Parnell, George Wallace, Lewis Black","United States","January 11, 2019",2019,"TV-MA","99 min","Comedies, Dramas","After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit."
"3464",80170870,"Movie","Dayveon","Amman Abbasi","Devin Blackmon, Dontrell Bright, Kordell ""KD"" Johnson, Lachion Buckingham, Chasity Moore, Marquell Manning, Shavidee Trotter, Maurice Everett","United States","January 11, 2018",2017,"TV-MA","76 min","Dramas, Independent Movies","Following the shooting death of his older brother, a depressed and aimless 13-year-old boy falls in with a gang in rural Arkansas."
"3465",80237329,"TV Show","AJ and the Queen","","RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere","United States","January 10, 2020",2020,"TV-14","1 Season","TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway."
"3466",80190519,"TV Show","Giri / Haji","","Takehiro Hira, Kelly Macdonald, Yosuke Kubozuka, Will Sharpe, Aoi Okuyama, Masahiro Motoki, Yuko Nakamura, Mitsuko Oka, Anna Sawai, Charlie Creed-Miles","United Kingdom","January 10, 2020",2019,"TV-MA","1 Season","British TV Shows, Crime TV Shows, International TV Shows","Family duty sends a lawman to London to look for his mob-assassin brother as a yakuza war threatens to engulf Tokyo. Trust is even tougher to find."
"3467",81183491,"TV Show","Jamtara - Sabka Number Ayega","Soumendra Padhi","Amit Sial, Dibyendu Bhattacharya, Aksha Pardhasany, Sparsh Shrivastava, Monika Panwar, Anshumaan Pushkar","India","January 10, 2020",2020,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it."
"3468",81011449,"TV Show","Medical Police","","Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera","United States","January 10, 2020",2020,"TV-MA","1 Season","Crime TV Shows, TV Action & Adventure, TV Comedies","Doctors Owen Maestro and Lola Spratt leave Childrens Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus."
"3471",80099306,"Movie","Sniper: Special Ops","Fred Olen Ray","Steven Seagal, Rob Van Dam, Tim Abell, Charlene Amoia, Daniel Booko, Jason-Shane Scott, Anthony Batarse, Gerald Webb","United States","January 10, 2020",2016,"R","86 min","Action & Adventure, Dramas","After a mission to rescue a U.S. congressman from the Taliban ends with two men left behind, their sniper buddies go against orders to get them back."
"3473",81074060,"TV Show","Until Dawn","","Ahmed Sylla, Alban Ivanov, Ornella Fleury, Natoo, Carlito, Mcfly, Djimo, Lola Dubini, Noom Diawara, Tania Dutel, Hakim Jemili, Jason Brokerss, Bérengère Krief, Thomas Vandenberghe, Monsieur Poulpe, Jhon Rachid, Audrey Pirault, Jeanfi Janssens, Fadily Camara, Laurie Peret, Issa Doumbia, Anne-Sophie Girard, Elhadj Gaye, Guillaume Bats","France","January 10, 2020",2020,"TV-MA","1 Season","International TV Shows, Reality TV, TV Comedies","France’s funniest comics carry out ghastly tasks as they try to outlast – and outwit – one another while overnighting in haunted locations."
"3475",81021294,"TV Show","When Heroes Fly","","Tomer Kapon, Ninet Tayeb, Michael Aloni, Nadav Nates, Moshe Ashkenazi, Vanessa Chaplot, Yael Sharoni, Gil Frank, Oded Fehr, Dan Mor","Israel","January 10, 2019",2018,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","Years after a bitter falling out, four Israeli military veterans reunite and travel to Colombia in search of a loved one they'd presumed to be dead."
"3476",80192136,"Movie","Alejandro Riaño: Especial de stand up","","Alejandro Riaño","Colombia","January 10, 2018",2018,"TV-MA","60 min","Stand-Up Comedy","Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers."
"3477",80109128,"Movie","In The Deep","Johannes Roberts","Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson, Yani Gellman, Santiago Segura","United Kingdom, United States, Dominican Republic","January 10, 2018",2017,"PG-13","89 min","Horror Movies, International Movies, Thrillers","With little oxygen left in their scuba tanks, two sisters are trapped in a shark cage at the bottom of the ocean while great whites circle nearby."
"3478",80187188,"Movie","On Yoga The Architecture of Peace","Heitor Dhalia","Michael O’Neill","Brazil, India, China, United States","January 10, 2018",2017,"TV-14","92 min","Documentaries, Faith & Spirituality","Based on photographer Michael O’Neill’s book of the same name, this documentary traces the author’s 10-year journey through the landscape of yoga."
"3479",80117811,"Movie","Jim Gaffigan: Cinco","Jeannie Gaffigan","Jim Gaffigan","United States","January 10, 2017",2017,"TV-14","74 min","Stand-Up Comedy","America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special."
"3480",80095649,"TV Show","We're Lalaloopsy","","Mariee Devereux, Kazumi Evans, Maryke Hendrikse, Matt Hill, Diana Kaarina, Jocelyne Loewen, Sabrina Pitre","United States","January 10, 2017",2017,"TV-Y","1 Season","Kids' TV, TV Comedies","The Lalaloopsy gang and their adorable pets know every day is a perfect day to celebrate the magic of friendship, creativity and collaboration."
"3486",81035731,"Movie","Aruna & Her Palate","Edwin","Dian Sastrowardoyo, Oka Antara, Hannah Al Rashid, Nicholas Saputra, Deddy Mahendra Desta, Ayu Azhari","Indonesia, South Korea, Singapore","January 1, 2020",2018,"TV-PG","106 min","Dramas, International Movies","An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride."
"3489",81167119,"TV Show","Because This Is My First Life","","Lee Min-ki, Jung So-min, Esom, Kim Ga-eun, Park Byung-eun, Kim Min-seok, Moon Hee-kyung, Kim Byung-ok, Kim Sun-young","South Korea","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","Two housemates get married for financial convenience, but discover nothing is simple when it comes to demanding in-laws, or facing their growing bond."
"3492",81028791,"TV Show","Cells at Work!","","Kana Hanazawa, Tomoaki Maeno, Daisuke Ono, Kikuko Inoue, Maria Naganawa, Takahiro Sakurai, Saori Hayami, Nobuhiko Okamoto, Yuichi Nakamura, Shoya Chiba, M・A・O, Ayako Kawasumi, Aya Endo, Hiroyuki Yoshino, Mamiko Noto","Japan","January 1, 2020",2018,"TV-14","1 Season","Anime Series, Teen TV Shows","One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!"
"3496",81184681,"TV Show","Chhota Bheem Kung Fu Dhamaka Series","","Pinky Pal Rajput, Sonal Kaushal, Julie Tejwani, Jigna Bharadhwaj, Shaily Dubey, Rajesh Kava, Ghanshyam Shukla, Anamaya Verma, Mohit Sinha, Vaibhav Thakkar","","January 1, 2020",2019,"TV-Y7","1 Season","Kids' TV","From kung fu battles to run-ins with bandits, life in an empire far away from home is an endless adventure for Chhota Bheem and his buddies."
"3509",81103093,"Movie","Fall Girls","Chris Stokes","Amara La Negra, Erica Hubbard, Joely Fisher, Paris Phillips, Erica Peeples, Tami Roman, Alfred Thomas II, J-Boog, Hunter Ives, Dylan Mooney","United States","January 1, 2020",2019,"TV-14","80 min","Comedies","Following a night of hard partying that left their tycoon boss dead, four women try to keep it a secret in hopes of closing a billion-dollar deal."
"3519",81088083,"Movie","Ghost Stories","Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Janhvi Kapoor, Sobhita Dhulipala, Sukant Goel, Gulshan Devaiah, Mrunal Thakur, Avinash Tiwary, Vijay Varma, Sagar Arya, Surekha Sikri, Pavail Gulati","India","January 1, 2020",2020,"TV-MA","145 min","Horror Movies, International Movies, Thrillers","The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
"3537",81167137,"TV Show","Live Up To Your Name","","Kim Nam-gil, Kim Ah-joong, Yoo Min-kyu, Moon Ga-young, Yun Ju-sang, Um Hyo-sup, An Seok-hwan, Lee Dae-yeon, Oh Dae-whan","","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Dramas","Pushed together by twists of time, a Joseon doctor and a cardiac surgeon overcome their 400-year divide as they learn and heal through each other."
"3538",81211681,"Movie","Luccas Neto in: Children's Day","Lucas Margutti","Luccas Neto, Vivian Duarte, Giobanna Alparone, Jéssica Diehl","","January 1, 2020",2019,"TV-Y7","81 min","Children & Family Movies, Comedies","When Luccas Neto plans a big Children's Day celebration, an unexpected threat at school puts the party – and his friends – at risk."
"3542",80117557,"TV Show","Messiah","","Michelle Monaghan, Mehdi Dehbi, John Ortiz, Tomer Sisley, Melinda Page Hamilton, Stefania LaVie Owen, Sayyid El Alami, Jane Adams, Wil Traval, Fares Landoulsi","United States","January 1, 2020",2020,"TV-MA","1 Season","TV Dramas, TV Thrillers","A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events."
"3547",80197991,"TV Show","Nisman: The Prosecutor, the President, and the Spy","Justin Webster","","","January 1, 2020",2020,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building."
"3551",81085364,"Movie","Pokémon the Movie: Power of Us","Tetsuo Yajima","Gim Yeong-seon, Ikue Otani, O Inseong, I Sen-ho, Jeong-shin Woo, Sarah Natochenny","","January 1, 2020",2018,"TV-Y7","98 min","Anime Features, Children & Family Movies","Ash and Pikachu journey to Fula City for its Wind Festival. When disaster looms, they must work together with a group of misfits to save the day!"
"3552",81140307,"Movie","Posesif","Edwin","Putri Marino, Adipati Dolken, Gritte Agatha, Chicco Kurniawan, Yayu Unru, Cut Mini Theo, Ismail Basbeth, Maulidina K. Putri","Indonesia","January 1, 2020",2017,"TV-14","102 min","Dramas, International Movies, Romantic Movies","A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance."
"3557",81167101,"TV Show","Save Me","","Taecyeon, Seo Ye-ji, Cho Seong-ha, Woo Do‑hwan, Son Byung-ho, Kim Kwang-gyoo, Yun Yoo-sun, Park Ji-young, Jeong Hae-gyoon, Jang Hyeok-jin","","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Dramas","Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader."
"3560",80135276,"Movie","Siren","Gregg Bishop","Chase Williamson, Hannah Fierman, Justin Welborn, Hayes Mercure, Michael Aaron Milligan, Brittany S. Hall, Randy McDowell, Lindsey Garrett, William Mark McCullough, Patrick Wood","United States","January 1, 2020",2016,"TV-MA","83 min","Horror Movies","A groom-to-be and his pals celebrate with a debauched night out that ends with a supernatural assault by a stripper who is not what she appears to be."
"3563",80201590,"TV Show","Spinning Out","","Kaya Scodelario, January Jones, Will Kemp, Willow Shields, Evan Roderick, David James Elliott, Sarah Wright Olsen, Svetlana Efremova, Amanda Zhou, Mitchell Edwards, Kaitlyn Leeb, Johnny Weir","","January 1, 2020",2020,"TV-MA","1 Season","TV Dramas","A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold."
"3573",81012487,"TV Show","The Bride of Habaek","","Shin Sae-kyeong, Nam Joo-hyuk, Lim Ju-hwan, Krystal Jung, Gong Myoung, Lee Gyoung-young, Yang Dong-geun","","January 1, 2020",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","When a quest for divine stones in the human world goes awry, the water god Habaek seeks help from a psychiatrist predestined to serve him."
"3574",81044551,"TV Show","The Circle","","Michelle Buteau","","January 1, 2020",2020,"TV-MA","1 Season","Reality TV","Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
"3611",80239710,"Movie","Gone are the Days","Mark Landre Gould","Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo","United States","January 1, 2019",2018,"R","100 min","Independent Movies","As a notorious outlaw comes to grips with his past, he reconnects with his estranged daughter and gets one more shot to make things right."
"3612",80177342,"TV Show","Good Girls","","Christina Hendricks, Retta, Mae Whitman, Matthew Lillard, Reno Wilson, Manny Montana, Lidya Jewett, Izzy Stannard, David Hornsby, Zach Gilford","United States","January 1, 2019",2018,"TV-14","1 Season","Crime TV Shows, TV Comedies, TV Dramas","Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together."
"3613",80108616,"Movie","Hell or High Water","David Mackenzie","Jeff Bridges, Chris Pine, Ben Foster, Gil Birmingham, Marin Ireland, Katy Mixon, Dale Dickey, Kevin Rankin, William Sterchi","United States","January 1, 2019",2016,"R","102 min","Dramas, Independent Movies","In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit."
"3620",80214621,"Movie","Kevyn Aucoin: Beauty & the Beast in Me","Lori Kaye","Kevyn Aucoin, Cindy Crawford, Naomi Campbell, Gwyneth Paltrow, Andie MacDowell, Paulina Porizkova, Amber Valletta","United States","January 1, 2019",2017,"TV-MA","90 min","Documentaries, LGBTQ Movies","Makeup artist Kevyn Aucoin worked with top supermodels in the 1980s and 1990s. Personal videos merged with interviews provide a peek into his life."
"3621",80245709,"Movie","Krystal","William H. Macy","Rosario Dawson, Nick Robinson, Jacob Latimore, Grant Gustin, William H. Macy, Kathy Bates, Felicity Huffman, William Fichtner, T.I., Rick Fox, Amy Parrish","United States","January 1, 2019",2017,"R","93 min","Comedies, Dramas","A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention."
"3624",81045060,"Movie","Merku Thodarchi Malai","Lenin Bharathi","Antony, Gayathri Krishna, Abu Valayamkulam, Anthony Vaathiyaar, Aarubala, Sornam","India","January 1, 2019",2018,"TV-MA","115 min","Dramas, Independent Movies, International Movies","In southern India, a laborer's dreams of owning a piece of land to farm is complicated by political corruption."
"3628",81046846,"Movie","Pokémon the Movie: I Choose You!","Kunihiko Yuyama","Ikue Otani, Sarah Natochenny, David Oliver Nelson, Mike Pollock, Kate Bristol, Suzy Myers, Rodger Parsons","Japan","January 1, 2019",2017,"TV-Y7","97 min","Anime Features, Children & Family Movies","When Ash tries to pick his first Pokémon on his birthday, he ends up with a stubborn Pikachu and they embark on a journey to find the legendary Ho-Oh."
"3630",81052279,"Movie","Puriyatha Puthir","Ranjit Jeyakodi","Vijay Sethupathi, Gayathrie, Mahima Nambiar, Arjunan, Ramesh Thilak, Ranjith","India","January 1, 2019",2017,"TV-MA","120 min","International Movies, Thrillers","An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him."
"3631",81052277,"Movie","Taramani","Ram","Andrea Jeremiah, Anjali, Vasanth Ravi, Adrian Knight Jesly, Azhagamperumal, Lizzie Antony, Nivas Adithan, Abhishek D Shah","India","January 1, 2019",2017,"TV-14","148 min","Dramas, Independent Movies, International Movies","A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations."
"3635",80195885,"Movie","The Pass","Ben A. Williams","Russell Tovey, Arinzé Kene, Lisa McGrillis, Nico Mirallegro, Rory J. Saper","United Kingdom","January 1, 2019",2016,"NR","87 min","Dramas, Independent Movies, LGBTQ Movies","The lives and careers of two professional soccer players are profoundly impacted by a single moment of intimacy that took place between them."
"3636",80209379,"TV Show","Tidying Up with Marie Kondo","","Marie Kondo","United States","January 1, 2019",2019,"TV-PG","1 Season","Reality TV","In a series of inspiring home makeovers, world-renowned tidying expert Marie Kondo helps clients clear out the clutter – and choose joy."
"3643",80190844,"Movie","AlphaGo","Greg Kohs","","United States","January 1, 2018",2017,"TV-G","90 min","Documentaries","Seemingly simple but deceptively complex, the game of ""Go"" serves as the backdrop for this battle between artificial intelligence and man."
"3645",80195653,"Movie","Camp Cool Kids","Lisa Arnold","Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown","United States","January 1, 2018",2017,"TV-G","104 min","Children & Family Movies, Comedies, Dramas","A young boy attends summer camp, where he overcomes his fears, stands up to bullies and learns important lessons about faith and life."
"3648",80197427,"Movie","Dries","Reiner Holzemer","Dries Van Noten","Germany, Belgium","January 1, 2018",2017,"TV-PG","89 min","Documentaries, International Movies","This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world."
"3650",80202713,"Movie","Eve's Apple","Jose Manuel Colón","","Spain","January 1, 2018",2017,"TV-14","91 min","Documentaries, International Movies","Interviews with global policymakers and girls in Gambia and Kenya detail the horrors of female genital mutilation and the growing efforts to end it."
"3653",80196217,"Movie","Functional Fitness","Bob Rose","","United States","January 1, 2018",2016,"TV-MA","106 min","Documentaries","This documentary explores the challenging, transformative world of high-intensity fitness programs through the eyes of the people who've embraced them."
"3654",80208908,"Movie","Green White Green (And All the Beautiful Colours in My Mosaic of Madness)","Abba T. Makama","Ifeanyi Dike Jr., Jamal Ibrahim, Samuel Robinson, Cristabel Goddy, Okey Uzoeshi, Bimbo Manuel, Meg Otanwa, Eric Didie, Donatus Ekwuazi, Omoye Uzamere","Nigeria","January 1, 2018",2016,"TV-MA","102 min","Comedies, Independent Movies, International Movies","Three young Nigerian bohemians, each from one of the country's major ethnic groups, explore the directions in which their lives could go."
